french,pronunciation,english,example_fr,example_en
mère,mehr,mother,Ma mère est très gentille.,My mother is very kind.
père,pehr,father,Mon père travaille dans une banque.,My father works in a bank.
frère,frehr,brother,J'ai deux frères.,I have two brothers.
soeur,sur,sister,Ma soeur aime la danse.,My sister loves dancing.
grand-mère,grahn-mehr,grandmother,Ma grand-mère fait les meilleurs gâteaux.,My grandmother makes the best cakes.
grand-père,grahn-pehr,grandfather,Mon grand-père raconte des histoires fascinantes.,My grandfather tells fascinating stories.
oncle,on-kluh,uncle,Mon oncle habite à Paris.,My uncle lives in Paris.
tante,tahnt,aunt,Ma tante est médecin.,My aunt is a doctor.
cousin(e),koo-zan / koo-zeen,cousin,Mon cousin vient de Canada.,My cousin comes from Canada.
neveu,nuh-vuh,nephew,Mon neveu a cinq ans.,My nephew is five years old.
nièce,nyess,niece,Ma nièce adore les poupées.,My niece loves dolls.
ami(e),ah-mee,friend,Mon ami est très drôle.,My friend is very funny.
collègue,koh-lehg,colleague,J'ai beaucoup de travail avec mes collègues.,I have a lot of work with my colleagues.
partenaire,par-tuh-nehr,partner,Mon partenaire et moi aimons voyager.,My partner and I love to travel.
fiancé(e),fee-ahn-say,fiancé(e),Elle est fiancée depuis un an.,She has been engaged for a year.
mari,mah-ree,husband,Son mari est ingénieur.,Her husband is an engineer.
femme,fam,wife,Sa femme est artiste.,His wife is an artist.
enfant,ahn-fahn,child,Ils ont deux enfants.,They have two children.
ami(e) proche,ah-mee prosh,close friend,Mon ami proche m'aide toujours.,My close friend always helps me.
relation,ruh-la-syon,relationship,Ils ont une relation forte.,They have a strong relationship.
maison,meh-zon,house,La maison est grande et lumineuse.,The house is big and bright.
appartement,ah-par-teh-mon,apartment,Ils vivent dans un appartement en centre-ville.,They live in an apartment downtown.
cuisine,kwee-zeen,kitchen,La cuisine est équipée d'un grand réfrigérateur.,The kitchen is equipped with a large refrigerator.
salon,sah-lon,living room,Le salon est confortable et accueillant.,The living room is comfortable and welcoming.
chambre,shahm-bruh,bedroom,Ma chambre est peinte en bleu.,My bedroom is painted blue.
salle de bains,sal duh ban,bathroom,La salle de bains a une grande baignoire.,The bathroom has a large bathtub.
jardin,zhar-dan,garden,Ils ont un beau jardin avec des fleurs.,They have a beautiful garden with flowers.
terrasse,teh-ras,terrace,Nous dînons sur la terrasse en été.,We dine on the terrace in summer.
balcon,bal-kon,balcony,Elle aime regarder les étoiles depuis son balcon.,She likes to watch the stars from her balcony.
garage,gah-rahzh,garage,Le garage peut contenir deux voitures.,The garage can hold two cars.
escalier,es-kah-lyay,staircase,L'escalier mène au deuxième étage.,The staircase leads to the second floor.
porte,port,door,Fermez la porte en sortant.,Close the door when you leave.
fenêtre,fuh-neh-truh,window,"Ouvre la fenêtre, s'il te plaît.","Open the window, please."
meuble,muh-bluh,furniture,Le meuble est fabriqué en bois massif.,The furniture is made of solid wood.
table,tah-bluh,table,La table est dressée pour le dîner.,The table is set for dinner.
chaise,shez,chair,Asseyez-vous sur la chaise.,Sit on the chair.
lit,lee,bed,Je vais me coucher sur le lit.,I�m going to bed on the bed.
canapé,kah-nah-pay,sofa,Le canapé est très confortable.,The sofa is very comfortable.
armoire,ar-mwar,wardrobe,L'armoire est pleine de vêtements.,The wardrobe is full of clothes.
étagère,ay-tah-zhehr,shelf,Les livres sont rangés sur l'étagère.,The books are arranged on the shelf.
